section;material;question;no;type;option1;option2;option3;option4;option5;option6;option7;explanation;answer1;answer2;answer3;answer4;score1;score2;score3;score4
Section: Install and Configure Active Directory Domain Services (AD DS) ;;;;;;;;;;;;;;;;;;;;
;;"<p>You work for a company named Contoso, Ltd.</p><p>The network contains an Active Directory forest named contoso.com. A forest trust exists between contoso.com and an Active Directory forest named adatum.com.</p><p>The contoso.com forest contains the objects configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image1.jpg' style='max-width: 100%;'><p>Group1 and Group2 contain only user accounts.</p><p>Contoso hires a new remote user named User3. User3 will work from home and will use a computer named Computer3 that runs Windows 10. Computer3 is currently in a workgroup.</p><p>An administrator named Admin1 is a member of the Domain Admins group in the contoso.com domain.</p><p>From Active Directory Users and Computers, you create an organizational unit (OU) named OU1 in the contoso.com domain, and then you create a contact named Contact1 in OU1.</p><p>An administrator of the adatum.com domain runs the Set-ADUser cmdlet to configure a user named User1 to have a user logon name of User1@litwareinc.com.</p><p>You need to ensure that User2 can add Group4 as a member of Group5.</p><p>What should you modify?</p>";;;the group scope of Group5;the Managed By settings of Group4;the group scope of Group4;the Managed By settings of Group5;;;;;D;;;;1.0;;;
;;"<p>You work for a company named Contoso, Ltd.</p><p>The network contains an Active Directory forest named contoso.com. A forest trust exists between contoso.com and an Active Directory forest named adatum.com.</p><p>The contoso.com forest contains the objects configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image2.jpg' style='max-width: 100%;'><p>Group1 and Group2 contain only user accounts.</p><p>Contoso hires a new remote user named User3. User3 will work from home and will use a computer named Computer3 that runs Windows 10. Computer3 is currently in a workgroup.</p><p>An administrator named Admin1 is a member of the Domain Admins group in the contoso.com domain.</p><p>From Active Directory Users and Computers, you create an organizational unit (OU) named OU1 in the contoso.com domain, and then you create a contact named Contact1 in OU1.</p><p>An administrator of the adatum.com domain runs the Set-ADUser cmdlet to configure a user named User1 to have a user logon name of User1@litwareinc.com.</p><p>End or repeated scenario.</p><p>You need to ensure that Admin1 can add Group2 as a member of Group3.</p><p>What should you modify?</p>";;;Modify the Security settings of Group3.;Modify the group scope of Group3.;Modify the group type of Group3.;Set Admin1 as the manager of Group3.;Add Admin1 to the Enterprise Admins group;;;<p>A domain local group (group2) can only be a member of another domain local group.  Therefore, we need to change the scope of Group3 from Universal to Domain Local.</p>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com</p><p>Your company plans to hire 500 temporary employees for a project that will last 90 days.</p><p>You create a new user account for each employee. An organizational unit (OU) named Temp contains the user accounts for the employees.</p><p>You need to prevent the new users from accessing any of the resources in the domain after 90 days.</p><p>What should you do?</p>;;;Run the Get-ADUser cmdlet and pipe the output to the Set-ADUser cmdlet.;Create a group that contains all of the users in the Temp OU. Create a Password Setting object (PSO) for the new group.;Create a Group Policy object (GPO) and link the GPO to the Temp OU. Modify the Password Policy settings of the GPO.;Run the Get-ADOrganizationalUnit cmdlet and pipe the output to the Set-Date cmdlet.;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains two domains named litwarenc.com and contoso.com. The contoso.com domain contains two domains controllers named LON-DC01 and LON-DC02.</p><p>The domain controllers are located in a site named London that is associated to a subnet of 192.168.10.0/24</p><p>You discover that LON-DC02 is not a global catalog server. You need to configure LON-DC02 as a global catalog server.</p><p>What should you do?</p>;;;From Active Directory Sites and Services, modify the properties of the 192.168.10.0/24 IP subnet.;From Windows PowerShell, run the Set-NetNatGlobal cmdlet.;From Active Directory Sites and Services, modify the NTDS Settings object of LON-DC02.;From Windows PowerShell, run the Enable-ADOptionalFeature cmdlet.;From the properties of the LON-DC02 computer account in Active Directory Users and Computers, modify the NTDS settings.;From the properties of the LON-DC02 computer account in Active Directory Users and Computers, modify the City attribute.;From the properties of the Domain Controllers organizational unit (OU) in Active Directory Users and Computers, modify the Security settings.;;C;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain functional level is Windows Server 2012 R2.</p><p>You need to secure several high-privilege user accounts to meet the following requirements:</p><p>Prevent authentication by using NTLM.</p><p>Use Kerberos to verify authentication request to any resources.</p><p>Prevent the users from signing in to a client computer if the computer is disconnected from the domain.</p><p>What should you do?</p>;;;Create a universal security group for the user accounts and modify the Security settings of the group.;Add the users to the Windows Authorization Access Group group.;Add the user to the Protected Users group.;Create a separate organizational unit (OU) for the user accounts and modify the Security settings of the OU.;;;;;C;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com. Users frequently access the website of an external partner company. The URL of the website is http://partners.adatum.com.</p><p>The partner company informs you that it will perform maintenance on its Web server and that the IP addresses of the Web server will change.</p><p>After the change is complete, the users on your internal network report that they fail to access the website. However, some users who work from home report that they can access the website.</p><p>You need to ensure that your DNS servers can resolve partners.adatum.com to the correct IP address immediately.</p><p>What should you do?</p>;;;Run dnscmd and specify the CacheLockingPercent parameter.;Run Set-DnsServerGlobalQueryBlockList.;Run ipconfig and specify the Renew parameter.;Run Set-DnsServerCache.;;;;;D;;;;1.0;;;
;;<p>You network contains one Active Directory domain named adatum.com. The domain contains a DNS server named Server1 that runs Windows Server 2016. All domain computers use Server1 for DNS.</p><p>You sign adatum.com by using DNSSEC. </p><p>You need to configure the domain computers to validate DNS responses for adatum.com records.</p><p>What should you configure in Group Policy?</p>;;;Network List Manager Policies;Network Access Protection (NAP);Name Resolution Policy;Public Key Policy;;;;;C;;;;1.0;;;
;;"<p>You work for a company named Contoso, Ltd.</p><p>The network contains an Active Directory forest named contoso.com. A forest trust exists between contoso.com and an Active Directory forest named adatum.com. The contoso.com forest contains the objects configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image2.jpg' style='max-width: 100%;'><p>Group1 and Group2 contain only user accounts.</p><p>Contoso hires a new remote user named User3. User3 will work from home and will use a computer named Computer3 that runs Windows 10. Computer3 is currently in a workgroup.</p><p>An administrator named Admin1 is a member of the Domain Admins group in the contoso.com domain.</p><p>From Active Directory Users and Computers, you create an organizational unit (OU) named OU1 in the contoso.com domain, and then you create a contact named Contact1 in OU1.</p><p>An administrator of the adatum.com domain runs the Set-ADUser cmdlet to configure a user named User1 to have a user logon name of User1@litwareinc.com.</p><p>You need to ensure that Admin1 can convert Group1 to a global group.</p><p>What should you do?</p>";;;Add Admin1 to the Enterprise Admins group.;Remove all the members from Group1.;Modify the Security settings of Group1.;Convert Group1 to a universal security group.;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains five domain controllers.</p><p>You have a branch office that has a local support technician named Tech1. Tech1 installs Windows Server 2016 on a server named RODC1 in a workgroup.</p><p>You need Tech1 to deploy RODC1 as a read-only domain controller (RODC) in the contoso.com domain.</p><p>Which three actions should you perform? Each correct answer presents part of the solution.</p>;;multiple choice;Instruct Tech1 to run the Active Directory Domain Services Configuration Wizard.;Create an RODC computer account by using Active Administrative Center.;Instruct Tech1 to run dcpromo.exe on RODC1.;Instruct Tech1 to install the Active Directory Domain Services server role on RODC1.;Modify the permissions of the Domain Controllers organizational unit (OU).;;;;ABD;;;;1.0;1.0;1.0;
